\u2029 > \par text
! < \mathexclam math.unicode-math
\" < \textquotedbl
# < \mathoctothorpe math.unicode-math
# = \#
$ < \mathdollar math
$ < \textdollar text.textcomp
$ = \$
% < \mathpercent math.unicode-math
% = \%
& < \mathampersand math.unicode-math
& = \&
( < \lparen math.unicode-math
) < \rparen math.unicode-math
* < \textasteriskcentered text
+ < \mathplus math.unicode-math
, < \mathcomma math.unicode-math
. < \mathperiod math.unicode-math
/ < \mathslash math.unicode-math
/\u200B = \slash text
: < \mathcolon math.unicode-math
; < \mathsemicolon math.unicode-math
< < \less math.unicode-math
< < \textless text
< > < math
= < \equal math.unicode-math
> < \greater math.unicode-math
> < \textgreater
> > > math
? < \mathquestion math.unicode-math
\u0040 < \mathatsign math.unicode-math
LaTeX < \LaTeX
[ < \lbrack math
\\ < \
\\ = \backslash math
\\ = \textbackslash text
] < \rbrack math
^ = \^ text
_ < \textunderscore text.textcomp
_ = \_
i\uFE20a\uFE21 = \t{ia} text
{ < \textbraceleft text
{ < \lbrace math
{ = \{ text
| = \textbar text
| = \vert math
} < \textbraceright text
} < \rbrace math
} = \} text
~ = \textasciitilde text
\u00A0 = ~ space
\u00A0 < \nobreakspace text space
\u00A1 = \textexclamdown text
\u00A2 = \textcent text.textcomp
\u00A3 < \mathsterling math
\u00A3 < \textsterling text.textcomp
\u00A3 = \pounds
\u00A4 = \textcurrency text.textcomp
\u00A5 = \textyen text.textcomp
\u0126 = \textmalteseH text.textcomp
\u0E3F = \textbaht text.textcomp
\u20A1 = \textcolonmonetary text.textcomp
\u20A4 = \textlira text.textcomp
\u20A6 = \textnaira text.textcomp
\u20A7 = \textpeseta text.textcomp
\u20A9 = \textwon text.textcomp
\u20AB = \textdong text.textcomp
\u20B1 = \textpeso text.textcomp
\u0192 = \textflorin text
\u20AC = \euro math.unicode-math
\u20AC = \texteuro text
\u05D0 = \hebalef text.xecjk
\u05E2 = \hebayin text.xecjk
\u05D1 = \hebbet text.xecjk
\u05D3 = \hebdalet text.xecjk
\u05DA = \hebfinalkaf text.xecjk
\u05DD = \hebfinalmem text.xecjk
\u05DF = \hebfinalnun text.xecjk
\u05E3 = \hebfinalpe text.xecjk
\u05E5 = \hebfinaltsadi text.xecjk
\u05D2 = \hebgimel text.xecjk
\u05D4 = \hebhe text.xecjk
\u05D7 = \hebhet text.xecjk
\u05DB = \hebkaf text.xecjk
\u05DC = \heblamed text.xecjk
\u05DE = \hebmem text.xecjk
\u05E0 = \hebnun text.xecjk
\u05E4 = \hebpe text.xecjk
\u05E7 = \hebqof text.xecjk
\u05E8 = \hebresh text.xecjk
\u05E1 = \hebsamekh text.xecjk
\u05E9 = \hebshin text.xecjk
\u05EA = \hebtav text.xecjk
\u05D8 = \hebtet text.xecjk
\u05E6 = \hebtsadi text.xecjk
\u05D5 = \hebvav text.xecjk
\u05D9 = \hebyod text.xecjk
\u05D6 = \hebzayin text.xecjk
\u00A6 = \textbrokenbar text.textcomp
\u00A7 < \mathsection math
\u00A7 = \S
\u00A7 < \textsection text.textcomp
\u00A8 = \textasciidieresis text
\u00A9 = \copyright
\u00A9 = \textcopyright text.textcomp
\u00AA = \textordfeminine text.textcomp
\u00AB = << text
\u00AB < \guillemotleft text
\u00AC < \neg math
\u00AC = \lnot math
\u00AC = \textlnot text
\u00AD = \-
\u00AE < \textcircled{R} text.amsmath
## textregistered comes from textcomp, but some symbols will already be loaded from it for non-ancient distros
\u00AE = \textregistered text
\u00AF = \textasciimacron text
\u00B0 = \textdegree text.textcomp
\u00B0 = ^\circ math
\u00B1 = \pm math
\u00B1 = \textpm text
\u00B2 = ^{2} math
\u00B2 < \texttwosuperior text
\u00B3 = ^{3} math
\u00B3 < \textthreesuperior text
\u00B4 = \textasciiacute text
\u00B5 = \textmu text
\u00B6 < \mathparagraph math
\u00B6 = \P
\u00B6 = \textparagraph text.textcomp
\u00B7 < \cdotp math
\u00B7 > \cdot math
\u00B8 > \c text
\u00B9 = ^{1} math
\u00B9 < \textonesuperior text
\u00BA = \textordmasculine text.textcomp
\u00BB = >> text
\u00BB < \guillemotright text
\u00BC < \textonequarter
\u00BC = \frac{1}{4} math
\u00BD < \textonehalf
\u00BD = \frac{1}{2} math
\u00BE < \textthreequarters
\u00BE = \frac{3}{4} math
\u00BF = \textquestiondown text
## À = \`A text
## Á = \'A text
## Â = \^A text
## Ã = \~A text
## Ä = \"A text
A\u030A < @{\r A}@
## Å < \r{A}
A\u030A = \AA text
\u00C6 = \AE text
## Ç = \c{C} text
## È = \`E text
## É = \'E text
## Ê = \^E text
## Ë = \"E text
## Ì = \`I text
## Í = \'I text
## Î = \^I text
## Ï = \"I text
\u00D0 = \DH text
## Ñ = \~N text
## Ò = \`O text
## Ó = \'O text
## Ô = \^O text
## Õ = \~O text
## Ö = \"O text
\u00D7 = \texttimes text
\u00D7 = \times math
\u00D8 = \O text
## Ù = \`U text
## Ú = \'U text
## Û = \^U text
## Ü = \"U text
## Ý = \'Y text
\u00DE = \TH text
\u00DF = \ss text
## à = \`a text
## á = \'a text
## â = \^a text
## ã = \~a text
## ä = \"a text
a\u030A < @{\r a}@
## å < \r{a}
a\u030A = \aa text
\u00E6 = \ae text
## ç = \c{c} text
## è = \`e text
## é = \'e text
## ê = \^e text
## ë = \"e text
i\u0300 < \`\i
## ì = \`i text
i\u0301 < \'\i
## í = \'i text
i\u0302 < \^\i
## î = \^i text
i\u0308 < \"\i
## ï = \"i text
\u00F0 = \dh text
\u00F0 = \eth math.amssymb
\u00F0 = \eth math.arevmath
\u00F0 = \textdh text.textcomp
## ñ = \~n text
## ò = \`o text
## ó = \'o text
## ô = \^o text
## õ = \~o text
## ö = \"o text
\u00F7 = \div math
\u00F7 = \textdiv text
\u00F8 = \o text
## ù = \`u text
